ClassId,Image,Category,CommonName,FamilyName,ScientificName,Height,Weight,Habitat,Lifespan,Description
482,Image/train/RED SHOULDERED HAWK/001.jpg,Bird,Red-shouldered Hawk,Accipitridae,Buteo lineatus,40-58 cm,"340-1,050 g","Forests, woodlands, and open areas",Up to 20 years,"The Red-shouldered Hawk (Buteo lineatus) is a bird of prey found in North America, particularly in woodlands and along waterways. With its distinctive red shoulders and loud calls, it is easily identified. Red-shouldered Hawks primarily feed on small mammals, birds, and amphibians. Conservation efforts focus on preserving their forested habitats, addressing potential threats such as habitat fragmentation and pesticide exposure, and promoting responsible land use practices to ensure the well-being of these vocal and raptor species in their natural environments. Red-shouldered Hawks play important roles in controlling rodent populations and are appreciated for their soaring displays in wooded landscapes."
483,Image/train/RED TAILED HAWK/001.jpg,Bird,Red-tailed Hawk,Accipitridae,Buteo jamaicensis,45-65 cm,"900-2,300 g","Open habitats, grasslands, and forests",Up to 25 years,"The Red-tailed Hawk (Buteo jamaicensis) is a large bird of prey found throughout North America. With its broad wings and reddish tail, it is one of the most recognizable raptors. Red-tailed Hawks primarily feed on small mammals and birds. Conservation efforts involve monitoring their populations, addressing potential threats such as habitat loss and pesticide exposure, and promoting responsible raptor conservation practices to ensure the well-being of these widespread and adaptable birds of prey in diverse landscapes. Red-tailed Hawks play important roles in controlling rodent populations and are valued for their cultural significance and ecological contributions."
484,Image/train/RED TAILED THRUSH/001.jpg,Bird,Red-tailed Thrush,Turdidae,Turdus rufiventris,20-22 cm,53-82 g,"Forests, woodlands, and gardens",Up to 10 years,"The Red-tailed Thrush (Turdus rufiventris) is a bird species found in South America, particularly in forests and wooded areas. With its rufous plumage and melodious songs, it is appreciated for its vocalizations. Red-tailed Thrushes primarily feed on fruits and insects. Conservation efforts involve preserving their forest habitats, addressing potential threats such as habitat fragmentation and illegal pet trade, and promoting sustainable forestry practices to ensure the well-being of these understory thrushes in their natural environments. Red-tailed Thrushes contribute to seed dispersal and are valued for their presence in the diverse birdlife of South American forests."
485,Image/train/RED WINGED BLACKBIRD/001.jpg,Bird,Red-winged Blackbird,Icteridae,Agelaius phoeniceus,18-24 cm,41-75 g,"Wetlands, marshes, and open areas",Up to 15 years,"The Red-winged Blackbird (Agelaius phoeniceus) is a songbird found in North America, particularly in wetlands and grassy areas. With its black plumage and vibrant red and yellow shoulder patches, it is easily recognizable. Red-winged Blackbirds primarily feed on seeds and insects. Conservation efforts focus on preserving their wetland habitats, addressing potential threats such as habitat loss and pesticide exposure, and promoting responsible wetland management practices to ensure the well-being of these gregarious and polygynous blackbirds in their natural environments. Red-winged Blackbirds are important indicators of wetland health and contribute to insect control in their breeding territories."
486,Image/train/RED WISKERED BULBUL/001.jpg,Bird,Red-whiskered Bulbul,Pycnonotidae,Pycnonotus jocosus,20-25 cm,28-40 g,"Urban areas, gardens, and woodlands",Up to 11 years,"The Red-whiskered Bulbul (Pycnonotus jocosus) is a bird species found in South Asia, Southeast Asia, and the Middle East. With its distinctive red cheek patches, it is often associated with open habitats and urban areas. Red-whiskered Bulbuls primarily feed on fruits and insects. Conservation efforts involve monitoring their populations, addressing potential threats such as habitat loss and illegal pet trade, and promoting responsible land use practices to ensure the well-being of these adaptable and vocal birds in their natural and human-altered environments. Red-whiskered Bulbuls contribute to seed dispersal and are known for their lively calls in diverse landscapes."
487,Image/train/REGENT BOWERBIRD/001.jpg,Bird,Regent Bowerbird,Ptilonorhynchidae,Sericulus chrysocephalus,25-31 cm,95-140 g,Rainforests and wooded areas,Up to 7 years,"The Regent Bowerbird (Sericulus chrysocephalus) is a bird species found in Australia, particularly in wet forests. With the male's striking golden-yellow crown, it is known for its elaborate courtship displays. Regent Bowerbirds primarily feed on fruits and insects. Conservation efforts involve preserving their forest habitats, addressing potential threats such as habitat loss and climate change, and promoting responsible land management practices to ensure the well-being of these visually stunning and bower-building birds in their natural environments. Regent Bowerbirds contribute to seed dispersal and are valued for their cultural significance in Australian ecosystems."
488,Image/train/REINDEER/025a71958d.jpg,Mammal,Reindeer,Cervidae,Rangifer tarandus,160-215 cm,100-318 kg,"Tundra, taiga, and subarctic regions",Up to 15 years,"Reindeer (Rangifer tarandus) are large herbivores found in arctic and subarctic regions of Europe, Asia, and North America. Also known as caribou in North America, they are adapted to cold environments with thick fur and specialized hooves for digging through snow. Reindeer primarily feed on lichens, grasses, and shrubs. Conservation efforts involve monitoring their populations, addressing potential threats such as habitat degradation and climate change, and promoting responsible reindeer husbandry practices to ensure the well-being of these iconic and migratory herbivores in their natural environments. Reindeer are culturally significant to indigenous peoples and play important roles in arctic ecosystems."
489,Image/train/RHINOCEROS/0508f53f25.jpg,Mammal,Rhinoceros,Rhinocerotidae,Various species,Varies,Varies,Grasslands and savannas,Up to 50 years,"Rhinoceroses are large herbivorous mammals found in Africa and Asia. There are several species, including the White Rhinoceros (Ceratotherium simum) and the Indian Rhinoceros (Rhinoceros unicornis). Rhinoceroses are known for their thick skin and distinctive horns. They primarily feed on grasses and other vegetation. Conservation efforts involve anti-poaching measures, habitat protection, and community engagement to address potential threats such as illegal poaching and habitat loss. Rhinoceroses are critically endangered, and conservation initiatives aim to ensure the survival of these iconic herbivores and their important ecological roles in grassland ecosystems."
490,Image/train/RING-NECKED PHEASANT/01.jpg,Bird,Ring-necked Pheasant,Phasianidae,Phasianus colchicus,50-89 cm,"500-1,200 g","Grasslands, farmlands, and open areas",Up to 5 years,"The Ring-necked Pheasant (Phasianus colchicus) is a game bird native to Asia but widely introduced in other parts of the world for sport hunting. With its colorful plumage and distinctive ring around its neck, it is easily identified. Ring-necked Pheasants primarily feed on seeds, insects, and small invertebrates. Conservation efforts involve managing populations for sustainable hunting, habitat restoration, and addressing potential threats such as predation and agricultural practices. Ring-necked Pheasants are valued for their contributions to recreational hunting and have become established in various landscapes beyond their native range."
491,Image/train/ROADRUNNER/001.jpg,Bird,Roadrunner,Cuculidae,Geococcyx californianus,52-62 cm,221-538 g,Arid and semi-arid regions,Up to 7 years,"The Roadrunner (Geococcyx californianus) is a bird species found in North and Central America, known for its distinctive appearance and ground-dwelling habits. With its long tail and distinctive crest, it is easily recognized. Roadrunners primarily feed on small animals, including reptiles and insects. Conservation efforts involve preserving their arid and semi-arid habitats, addressing potential threats such as habitat fragmentation and vehicle collisions, and promoting responsible land management practices to ensure the well-being of these fast-running and adaptable birds in their natural environments. Roadrunners are culturally significant in some indigenous traditions and are known for their iconic ""beep-beep"" vocalizations."
492,Image/train/ROCK DOVE/001.jpg,Bird,Rock Dove,Columbidae,Columba livia,30-36 cm,238-380 g,"Urban areas, cliffs, and rocky areas",Up to 15 years,"The Rock Dove (Columba livia), commonly known as the Pigeon, is a bird species found in urban areas worldwide. With its grayish plumage and distinctive cooing sounds, it is well-adapted to human-altered environments. Rock Doves primarily feed on seeds and grains. Conservation efforts related to Rock Doves involve managing urban populations, addressing potential threats such as diseases and pollution, and promoting responsible pigeon-keeping practices to ensure the well-being of these highly adaptable and social birds in urban landscapes. Rock Doves are valued for their interactions with humans and have historical significance as messengers in various cultures."
493,Image/train/ROSE BREASTED COCKATOO/001.jpg,Bird,Rose-breasted Cockatoo,Psittacidae,Eolophus roseicapilla,35-37 cm,300-400 g,"Forests, woodlands, and urban areas",Up to 40 years,"The Rose-breasted Cockatoo (Eolophus roseicapilla), also known as the Galah, is a cockatoo species native to Australia. With its distinctive pink and gray plumage, it is easily identified. Rose-breasted Cockatoos primarily feed on seeds, fruits, and plant matter. Conservation efforts focus on preserving their natural habitats, addressing potential threats such as habitat loss and illegal pet trade, and promoting responsible cockatoo conservation practices to ensure the well-being of these charismatic and socially gregarious birds in their native environments. Rose-breasted Cockatoos are appreciated for their playful behaviors and are known for forming large flocks in the wild."
494,Image/train/ROSE BREASTED GROSBEAK/001.jpg,Bird,Rose-breasted Grosbeak,Cardinalidae,Pheucticus ludovicianus,18-22 cm,33-65 g,"Forests, woodlands, and gardens",Up to 12 years,"The Rose-breasted Grosbeak (Pheucticus ludovicianus) is a songbird found in North America, particularly in woodlands and gardens. With its striking black and white plumage and rosy-red chest, it is easily recognized. Rose-breasted Grosbeaks primarily feed on seeds, insects, and fruits. Conservation efforts involve preserving their forested habitats, addressing potential threats such as habitat loss and window collisions, and promoting responsible bird-watching practices to ensure the well-being of these migratory and melodious grosbeaks in their natural environments. Rose-breasted Grosbeaks contribute to seed dispersal and are appreciated for their vibrant colors in North American landscapes."
495,Image/train/ROSEATE SPOONBILL/001.jpg,Bird,Roseate Spoonbill,Threskiornithidae,Platalea ajaja,71-86 cm,1.2-2 kg,"Wetlands, marshes, and coastal areas",Up to 15 years,"The Roseate Spoonbill (Platalea ajaja) is a wading bird found in the Americas, particularly in wetlands and coastal areas. With its distinctive pink plumage and spoon-shaped bill, it is easily identified. Roseate Spoonbills primarily feed on aquatic invertebrates. Conservation efforts related to Roseate Spoonbills involve protecting their wetland habitats, addressing potential threats such as habitat degradation and disturbance, and promoting responsible wetland conservation practices to ensure the well-being of these visually striking and filter-feeding birds in their nesting and foraging areas. Roseate Spoonbills are valued for their vibrant colors and are considered iconic species in wetland ecosystems."
496,Image/train/ROSY FACED LOVEBIRD/001.jpg,Bird,Rosy-faced Lovebird,Psittaculidae,Agapornis roseicollis,17-18 cm,43-63 g,Arid and semi-arid regions,Up to 15 years,"The Rosy-faced Lovebird (Agapornis roseicollis) is a small parrot species native to arid regions of southwestern Africa. With its bright colors and rosy face, it is popular in the pet trade. Rosy-faced Lovebirds primarily feed on seeds, fruits, and vegetation. Conservation efforts focus on preserving their native habitats, addressing potential threats such as habitat loss and illegal trapping for the pet trade, and promoting responsible pet ownership to ensure the well-being of these social and vocal parrots in their natural environments. Rosy-faced Lovebirds are known for their strong pair bonds and playful interactions in their native arid landscapes."
497,Image/train/ROUGH LEG BUZZARD/001.jpg,Bird,Rough-legged Buzzard,Accipitridae,Buteo lagopus,46-58 cm,"600-1,500 g","Tundra, marshes, and open areas",Up to 10 years,"The Rough-legged Buzzard (Buteo lagopus) is a bird of prey found in the northern hemisphere, particularly in tundra and open landscapes. With its feathered legs and a dark belly band, it is adapted to cold environments. Rough-legged Buzzards primarily feed on small mammals and birds. Conservation efforts involve monitoring their populations, addressing potential threats such as habitat loss and pesticide exposure, and promoting responsible raptor conservation practices to ensure the well-being of these circumpolar and migratory birds of prey in diverse landscapes. Rough-legged Buzzards play important roles in controlling rodent populations and are appreciated for their adaptability to northern climates."
498,Image/train/ROYAL FLYCATCHER/001.jpg,Bird,Royal Flycatcher,Tyrannidae,Onychorhynchus coronatus,13-16 cm,14-19 g,Tropical rainforests,Up to 7 years,"The Royal Flycatcher (Onychorhynchus coronatus) is a bird species found in Central and South America, particularly in tropical forests. With its striking crest and vibrant plumage, it is known for its elaborate courtship displays. Royal Flycatchers primarily feed on insects. Conservation efforts involve preserving their forest habitats, addressing potential threats such as habitat loss and climate change, and promoting sustainable forestry practices to ensure the well-being of these visually stunning and canopy-dwelling flycatchers in their natural environments. Royal Flycatchers are appreciated for their unique appearance and are indicators of the health of tropical forest ecosystems."
499,Image/train/RUBY CROWNED KINGLET/001.jpg,Bird,Ruby-crowned Kinglet,Regulidae,Corthylio calendula,9-11 cm,5-10 g,Coniferous and mixed forests,Up to 8 years,"The Ruby-crowned Kinglet (Regulus calendula) is a small songbird found in North America, particularly in coniferous and mixed woodlands. With its olive-green plumage and concealed ruby crown, it is often recognized by its energetic behavior. Ruby-crowned Kinglets primarily feed on insects and spiders. Conservation efforts involve preserving their forested habitats, addressing potential threats such as habitat loss and climate change, and promoting responsible bird-watching practices to ensure the well-being of these active and migratory kinglets in their natural environments. Ruby-crowned Kinglets contribute to insect control and are appreciated for their agility and vocalizations in North American forests."
500,Image/train/RUBY THROATED HUMMINGBIRD/001.jpg,Bird,Ruby-throated Hummingbird,Trochilidae,Archilochus colubris,7-9 cm,2-20 g,"Forests, woodlands, and gardens",Up to 9 years,"The Ruby-throated Hummingbird (Archilochus colubris) is a small and vibrant hummingbird species found in eastern North America. Adult males are characterized by their iridescent green plumage and a bright red throat patch, which is displayed during courtship displays. These agile birds primarily feed on nectar from flowers and are known for their incredible hovering ability. Conservation efforts focus on providing suitable habitats with flowering plants, reducing pesticide use, and raising awareness about creating hummingbird-friendly gardens to support these migratory jewels throughout their range. Ruby-throated Hummingbirds play essential roles in pollination as they visit flowers for nectar, contributing to the diversity of plant life."
501,Image/train/RUDDY SHELDUCK/1.jpg,Bird,Ruddy Shelduck,Anatidae,Tadorna ferruginea,58-70 cm,1.2-2.3 kg,"Wetlands, lakes, and rivers",Up to 10 years,"The Ruddy Shelduck (Tadorna ferruginea) is a distinctive waterfowl species with a rich chestnut plumage and contrasting black bill. Found in a wide range of wetland habitats across Europe and Asia, these ducks are known for their sociable behavior and loud calls. Ruddy Shelducks primarily feed on aquatic vegetation and invertebrates. Conservation efforts involve protecting their breeding and wintering grounds, addressing threats such as habitat loss and disturbance, and promoting responsible wetland management practices to ensure the well-being of these striking waterfowl in their natural environments. Ruddy Shelducks are appreciated for their unique appearance and are often observed in mixed flocks with other waterbirds."
502,Image/train/RUDY KINGFISHER/001.jpg,Bird,Rudy Kingfisher,Alcedinidae,Ceyx rufidorsa,14-16 cm,18-28 g,"Rivers, streams, and mangrove areas",Up to 6 years,"The Rudy Kingfisher (Ceyx rudyi), also known as the Philippine Dwarf Kingfisher, is a small and colorful bird species endemic to the Philippines. With its vibrant plumage, including shades of blue, green, and orange, it inhabits lowland forests and is often found near water bodies. Rudy Kingfishers primarily feed on small fish, insects, and other aquatic prey. Conservation efforts focus on preserving their forested habitats, addressing potential threats such as habitat loss and climate change, and promoting responsible forestry practices to ensure the well-being of these endemic and visually stunning kingfishers in their native ecosystems. Rudy Kingfishers contribute to the biodiversity of Philippine forests and are sought after by birdwatchers for their striking colors."
503,Image/train/RUFOUS KINGFISHER/001.jpg,Bird,Rufous Kingfisher,Alcedinidae,Actenoides concretus,29-35 cm,85-105 g,Rainforests and wooded areas,Up to 8 years,"The Rufous Kingfisher (Todiramphus winchelli) is a bird species found in the Solomon Islands, characterized by its striking combination of blue and rufous plumage. Inhabiting tropical forests, these kingfishers are skilled hunters that feed on insects, small vertebrates, and even crustaceans. Conservation efforts focus on preserving their island habitats, addressing potential threats such as habitat degradation and invasive species, and promoting responsible forest management practices to ensure the well-being of these visually appealing kingfishers in their natural environments. Rufous Kingfishers are valued for their ecological roles in controlling insect populations and are emblematic of the unique biodiversity of the Solomon Islands."
504,Image/train/RUFOUS TREPE/001.jpg,Bird,Rufous Treepie,Corvidae,Dendrocitta vagabunda,45-50 cm,80-130 g,"Forests, gardens, and urban areas",Up to 12 years,"The Rufous Treepie (Dendrocitta vagabunda) is a medium-sized bird found in South Asia, known for its distinctive black, white, and chestnut plumage. Inhabiting a variety of wooded habitats, including urban areas, these treepies are omnivorous, feeding on fruits, insects, small vertebrates, and even human food. Conservation efforts involve preserving their diverse habitats, addressing potential threats such as habitat fragmentation and urbanization, and promoting responsible waste disposal practices to minimize human-wildlife conflicts. Rufous Treepies are adaptable and vocal birds, often observed in social groups, contributing to the ecological balance in their native landscapes."
505,Image/train/RUFUOS MOTMOT/001.jpg,Bird,Rufous Motmot,Momotidae,Baryphthengus martii,38-46 cm,170-280 g,Rainforests and wooded areas,Up to 10 years,"The Rufous Motmot (Baryphthengus martii) is a bird species found in Central and South America, characterized by its distinctive racket-tipped tail and vibrant rufous plumage. Inhabiting tropical forests, these motmots feed on insects, small vertebrates, and fruits. Conservation efforts focus on preserving their forested habitats, addressing potential threats such as habitat loss and illegal pet trade, and promoting responsible bird-watching practices to ensure the well-being of these visually unique and cavity-nesting birds in their natural environments. Rufous Motmots contribute to seed dispersal and insect control, playing important roles in the ecological dynamics of tropical forests."
506,Image/train/SAMATRAN THRUSH/001.jpg,Bird,Samoan Thrush,Turdidae,Turdus samoensis,23 cm,50-60 g,"Forests, woodlands, and gardens",Up to 8 years,"The Samoan Thrush (Turdus samoensis) is a bird species endemic to Samoa, known for its distinctive black plumage and yellow eye-ring. Inhabiting montane forests, these thrushes primarily feed on insects, fruits, and small invertebrates. Conservation efforts involve preserving their forested habitats, addressing potential threats such as habitat loss and invasive species, and promoting responsible forest management practices to ensure the well-being of these endemic and visually striking thrushes in their native ecosystems. Samoan Thrushes contribute to the biodiversity of Samoa and are emblematic of the unique avian fauna found on the islands."
507,Image/train/SAND MARTIN/01.jpg,Bird,Sand Martin,Hirundinidae,Riparia riparia,12 cm,15-25 g,"Riverbanks, cliffs, and open areas",Up to 5 years,"The Sand Martin (Riparia riparia), also known as the Bank Swallow, is a small migratory bird found in a wide range of habitats, including riverbanks and sand dunes. With its brown and white plumage, it is well-adapted for aerial foraging. Sand Martins primarily feed on flying insects caught in mid-air. Conservation efforts focus on providing suitable nesting sites, protecting riverbank habitats, and addressing potential threats such as habitat disturbance and climate change to ensure the well-being of these migratory swallows throughout their range. Sand Martins are known for their colonial nesting behavior and play important roles in controlling insect populations in their breeding areas."
508,Image/train/SANDHILL CRANE/001.jpg,Bird,Sandhill Crane,Gruidae,Antigone canadensis,76-122 cm,2.3-6.3 kg,"Wetlands, grasslands, and agricultural fields",Up to 20 years,"The Sandhill Crane (Antigone canadensis) is a large bird species found in North America, known for its distinctive gray plumage and trumpet-like calls. Sandhill Cranes inhabit a variety of wetland and grassland habitats and are often observed during migration. These cranes primarily feed on grains, insects, and small vertebrates. Conservation efforts involve protecting their breeding and wintering grounds, addressing potential threats such as habitat loss and collisions with power lines, and promoting responsible land management practices to ensure the well-being of these iconic and migratory birds in their natural environments. Sandhill Cranes are revered for their elaborate courtship displays and are considered symbols of the North American wilderness."
509,Image/train/SANDPIPER/021fa2c72c.jpg,Bird,Sandpiper,Scolopacidae,Various species,Varies,Varies,"Various habitats including shorelines, mudflats, and wetlands",Varies,"The Sandpiper is a diverse group of shorebirds belonging to the family Scolopacidae. Found in various habitats, including coastal areas and wetlands, sandpipers are known for their long bills, slender legs, and distinctive feeding behaviors. They primarily feed on small invertebrates, such as worms and crustaceans, by probing or pecking in the mud or sand. Conservation efforts for sandpipers involve protecting their coastal and wetland habitats, addressing threats such as habitat degradation and climate change, and promoting sustainable management practices to ensure the well-being of these migratory and often gregarious birds. Sandpipers contribute to the ecological balance of their habitats by controlling invertebrate populations."
510,Image/train/SATYR TRAGOPAN/001.jpg,Bird,Satyr Tragopan,Phasianidae,Tragopan satyra,63-70 cm,1.5-2.4 kg,Temperate and subtropical forests,Up to 8 years,"The Satyr Tragopan (Tragopan satyra) is a pheasant species found in the eastern Himalayas, characterized by its vibrant plumage and distinctive horn-like projections on the head. Inhabiting dense forests, these tragopans primarily feed on a diet of fruits, seeds, and insects. Conservation efforts focus on preserving their montane habitats, addressing potential threats such as habitat loss and hunting, and promoting community-based conservation initiatives to ensure the well-being of these visually stunning and endemic pheasants in their native ecosystems. Satyr Tragopans are appreciated for their role in ecotourism and are flagship species for the conservation of Himalayan biodiversity."
511,Image/train/SAYS PHOEBE/001.jpg,Bird,Say's Phoebe,Tyrannidae,Sayornis saya,15-18 cm,12-18 g,"Open areas, grasslands, and cliffs",Up to 10 years,"Say's Phoebe (Sayornis saya) is a medium-sized flycatcher found in western North America. With its muted brown plumage and habit of wagging its tail, it is often identified by its distinctive behavior. Say's Phoebes primarily feed on flying insects caught during aerial pursuits. Conservation efforts involve providing suitable nesting sites, protecting grassland habitats, and addressing potential threats such as habitat fragmentation and pesticide use to ensure the well-being of these insect-eating flycatchers in their natural environments. Say's Phoebes contribute to pest control and are appreciated by birdwatchers for their unassuming charm."
512,Image/train/SCARLET CROWNED FRUIT DOVE/001.jpg,Bird,Scarlet-crowned Fruit Dove,Columbidae,Ptilinopus porphyraceus,22-27 cm,90-170 g,Rainforests and wooded areas,Up to 10 years,"The Scarlet-crowned Fruit Dove (Ptilinopus porphyraceus) is a vibrant bird species found in Southeast Asia and the Pacific Islands, known for its striking combination of green, purple, and red plumage. Inhabiting tropical forests, these fruit doves primarily feed on a diet of fruits and play essential roles in seed dispersal. Conservation efforts focus on preserving their forested habitats, addressing potential threats such as habitat loss and illegal trade, and promoting responsible bird-watching practices to ensure the well-being of these visually stunning and frugivorous doves in their native ecosystems. Scarlet-crowned Fruit Doves contribute to the diversity of plant life in their habitats and are sought after by bird enthusiasts for their colorful appearance."
513,Image/train/SCARLET FACED LIOCICHLA/001.jpg,Bird,Scarlet-faced Liocichla,Leiothrichidae,Liocichla ripponi,24-26 cm,62-75 g,Forests and scrublands,Up to 7 years,"The Scarlet-faced Liocichla (Liocichla ripponi) is a bird species found in the eastern Himalayas, known for its vibrant plumage and distinctive facial markings. Inhabiting montane forests, these liocichlas primarily feed on insects and small invertebrates. Conservation efforts involve preserving their forested habitats, addressing potential threats such as habitat loss and climate change, and promoting community-based conservation initiatives to ensure the well-being of these visually striking and often elusive birds in their native ecosystems. Scarlet-faced Liocichlas are valued for their role in maintaining insect populations and are emblematic of the biodiversity of the eastern Himalayas."
514,Image/train/SCARLET IBIS/01.jpg,Bird,Scarlet Ibis,Threskiornithidae,Eudocimus ruber,56-61 cm,1-1.4 kg,"Wetlands, mudflats, and coastal areas",Up to 20 years,"The Scarlet Ibis (Eudocimus ruber) is a striking wading bird found in wetlands and coastal areas of South America and the Caribbean. Known for its brilliant scarlet plumage, this ibis primarily feeds on crustaceans, insects, and small fish. Conservation efforts involve protecting their breeding and foraging habitats, addressing potential threats such as habitat degradation and pollution, and promoting sustainable wetland management practices to ensure the well-being of these iconic and visually stunning birds in their natural environments. Scarlet Ibises are symbolic of tropical wetlands and are often associated with cultural and conservation significance in their range."
515,Image/train/SCARLET MACAW/001.jpg,Bird,Scarlet Macaw,Psittacidae,Ara macao,81-86 cm,"900-1,300 g",Tropical rainforests,Up to 50 years,"The Scarlet Macaw (Ara macao) is a large and brilliantly colored parrot species found in the rainforests of Central and South America. Recognized by its vibrant red, blue, and yellow plumage, the Scarlet Macaw is known for its intelligence and loud vocalizations. These macaws primarily feed on fruits, nuts, and seeds. Conservation efforts involve preserving their forested habitats, addressing potential threats such as habitat loss and illegal pet trade, and promoting responsible eco-tourism practices to ensure the well-being of these iconic and charismatic parrots in their natural environments. Scarlet Macaws contribute to seed dispersal and are revered for their cultural significance in the regions they inhabit."
516,Image/train/SCARLET TANAGER/001.jpg,Bird,Scarlet Tanager,Cardinalidae,Piranga olivacea,17-19 cm,23-45 g,Forests and woodlands,Up to 7 years,"The Scarlet Tanager (Piranga olivacea) is a colorful songbird found in North America, known for its striking scarlet plumage and black wings. Inhabiting deciduous forests, these tanagers primarily feed on insects and fruits. Conservation efforts involve preserving their breeding habitats, addressing potential threats such as habitat loss and pesticide use, and promoting responsible forestry practices to ensure the well-being of these visually stunning and migratory birds in their natural environments. Scarlet Tanagers are appreciated for their vibrant appearance and are indicators of the health of forest ecosystems in their range."
517,Image/train/SEAHORSE/00d1895565.jpg,Fish,Seahorse,Syngnathidae,Hippocampus spp.,Varies,Varies,"Coral reefs, seagrasses, and mangroves",Up to 5 years,"Seahorses are a group of small marine fish belonging to the family Syngnathidae. Characterized by their unique appearance with a horse-like head and a prehensile tail, seahorses are found in shallow tropical and temperate waters around the world. They use their tails to anchor themselves to seafloor vegetation and feed on small crustaceans. Conservation efforts for seahorses involve protecting their coastal habitats, addressing threats such as habitat destruction and overexploitation for the aquarium trade, and promoting sustainable fishing practices to ensure the well-being of these distinctive and delicate marine species. Seahorses are iconic symbols of marine biodiversity and are valued for their ecological roles in maintaining seagrass ecosystems."
518,Image/train/SEAL/008f8f926e.jpg,Mammal,Seal,Phocidae,Various species,Varies,Varies,Oceans and polar regions,Up to 30 years,"Seals are a diverse group of marine mammals belonging to the order Pinnipedia. This group includes various species such as harbor seals, grey seals, and elephant seals. Seals are well-adapted to both aquatic and terrestrial environments, with streamlined bodies and flippers for swimming. They primarily feed on fish and marine invertebrates. Conservation efforts for seals involve protecting their breeding and haul-out sites, addressing threats such as habitat disturbance and climate change, and promoting responsible marine conservation practices to ensure the well-being of these marine mammals in their natural environments. Seals are important indicators of marine ecosystem health and contribute to the balance of marine food webs."
519,Image/train/SHARK/02c94ceb43.jpg,Fish,Shark,Elasmobranchii,Various species,Varies,Varies,Oceans and various aquatic habitats,Varies,"Sharks are a diverse group of cartilaginous fish species found in oceans worldwide. Ranging from small species to large apex predators, sharks play crucial roles in marine ecosystems as top predators. They primarily feed on fish, seals, and other marine organisms. Conservation efforts for sharks involve addressing threats such as overfishing, habitat degradation, and bycatch, and promoting sustainable fisheries management practices to ensure the well-being of these keystone species in marine environments. Sharks are essential for maintaining the balance of marine food webs and are often indicators of the health of ocean ecosystems."
520,Image/train/SHEEP/00bf97cec1.jpg,Mammal,Sheep,Bovidae,Ovis aries,Varies,Varies,"Various habitats including grasslands, mountains, and farmlands",Up to 12 years,"Sheep (Ovis aries) are domesticated mammals that have been bred for various purposes, including wool production and meat. Domestic sheep come in various breeds and are found in agricultural settings worldwide. They are herbivores that graze on grass and other vegetation. Conservation efforts related to domestic sheep focus on sustainable farming practices, including responsible grazing management and genetic conservation of traditional breeds. Sheep are valuable livestock for human societies, providing wool, meat, and milk, and they have played essential roles in various cultures and economies throughout history."
521,Image/train/SHOEBILL/001.jpg,Bird,Shoebill,Balaenicipitidae,Balaeniceps rex,110-140 cm,4-7 kg,"Swamps, marshes, and wetlands",Up to 35 years,"The Shoebill (Balaeniceps rex) is a large bird species found in tropical swamps and wetlands in central tropical Africa. Known for its massive shoe-shaped bill, which resembles a Dutch wooden clog, the Shoebill is a charismatic and solitary bird. It primarily feeds on fish and other aquatic prey. Conservation efforts for Shoebills focus on protecting their wetland habitats, addressing potential threats such as habitat loss and hunting, and promoting responsible eco-tourism practices to ensure the well-being of these iconic and enigmatic birds in their natural environments. Shoebills are highly sought after by birdwatchers for their unique appearance and behaviors."
522,Image/train/SHORT BILLED DOWITCHER/001.jpg,Bird,Short-billed Dowitcher,Scolopacidae,Limnodromus griseus,27-31 cm,60-120 g,"Coastal areas, mudflats, and estuaries",Up to 10 years,"The Short-billed Dowitcher (Limnodromus griseus) is a medium-sized shorebird found in North America. It is known for its distinctive long, straight bill and intricate plumage patterns. Short-billed Dowitchers primarily inhabit mudflats, marshes, and coastal areas, where they use their bills to probe for invertebrates in the mud. Conservation efforts involve protecting their coastal habitats, addressing potential threats such as habitat degradation and climate change, and promoting sustainable management practices to ensure the well-being of these migratory and gregarious shorebirds. Short-billed Dowitchers are appreciated by birdwatchers for their elegant appearance and energetic feeding behavior."
523,Image/train/SMITHS LONGSPUR/001.jpg,Bird,Smith's Longspur,Calcariidae,Calcarius pictus,13-15 cm,15-27 g,Tundra and grasslands,Up to 8 years,"Smith's Longspur (Calcarius pictus) is a small songbird found in North America, known for its distinctive breeding plumage featuring black facial markings and a chestnut nape. These longspurs primarily inhabit open grasslands and tundra habitats. Conservation efforts involve protecting their breeding grounds, addressing potential threats such as habitat loss and agricultural practices, and promoting responsible land management to ensure the well-being of these ground-nesting birds. Smith's Longspurs are valued for their role in grassland ecosystems and are sought after by bird enthusiasts for their unique appearance during the breeding season."
524,Image/train/SNAKE/04a37e0cde.jpg,Reptile,Snake,Serpentes,Various species,Varies,Varies,"Various habitats including forests, grasslands, and deserts",Varies,"Snakes are a diverse group of elongated and legless reptiles found in various ecosystems worldwide. They belong to the order Squamata, which also includes lizards and amphisbaenians. Snakes have adapted to a wide range of habitats, from deserts to rainforests, and they play crucial roles in maintaining ecological balance by controlling rodent populations and contributing to nutrient cycling. Conservation efforts for snakes involve protecting their habitats, addressing threats such as habitat destruction and persecution, and promoting public awareness to dispel myths and misconceptions. Snakes are important components of biodiversity and are crucial for maintaining healthy ecosystems."
